keys,es,en
SLEEP_TITLE_HOSTAL,"Descansar en el hostal","Rest at the inn"
SLEEP_TITLE_CALLEJON,"Dormir en el callejón","Sleep in the alley"
SLEEP_TITLE_CALLE,"Dormir en la calle","Sleep on the street"
SLEEP_HORA,"hora","hour"
SLEEP_HORAS,"horas","hours"
SLEEP_POST_TEXTO,"Son las %s. ¿Qué quieres hacer?","It's %s. What do you want to do?"
SLEEP_DESPERTAR,"Despertar","Wake up"
SLEEP_SEGUIR,"Seguir durmiendo","Keep sleeping"
SLEEP_SALIR,"Salir a la calle","Go outside"
SLEEP_HOSTAL_CERRADO,"El hostal está cerrado","The inn is closed"
SLEEP_HOSTAL_POCO_TIEMPO,"El hostal cierra pronto. No queda tiempo suficiente para descansar.","The inn closes soon. Not enough time to rest."
SLEEP_COLAPSO_MENSAJE,"Te has desvanecido de agotamiento...","You have fainted from exhaustion..."
JOURNAL_TITLE,"Mi Diario","My Diary"
JOURNAL_HOUR_MORNING,"Mañana","Morning"
JOURNAL_HOUR_AFTERNOON,"Tarde","Afternoon"
JOURNAL_HOUR_NIGHT,"Noche","Night"
JOURNAL_ATTR_LABEL,"Atractivo","Attractiveness"
JOURNAL_MONEY_LABEL,"Dinero","Money"
JOURNAL_DAY_LABEL,"Día","Day"
JOURNAL_PHYSICAL_STATE,"Estado Físico","Physical State"
JOURNAL_MENTAL_STATE,"Estado Mental","Mental State"
JOURNAL_STAT_HYGIENE,"Higiene","Hygiene"
JOURNAL_STAT_HEALTH,"Salud","Health"
JOURNAL_STAT_STAMINA,"Stamina","Stamina"
JOURNAL_STAT_HUNGER,"Hambre","Hunger"
JOURNAL_STAT_ALCOHOL,"Alcohol","Alcohol"
JOURNAL_STAT_LAUDANUM,"Laudano","Laudanum"
JOURNAL_STAT_DISEASE,"Enfermedad","Disease"
JOURNAL_STAT_SLEEP,"Sueño","Sleep"
JOURNAL_STAT_HAPPINESS,"Felicidad","Happiness"
JOURNAL_STAT_CALM,"Calma","Calm"
JOURNAL_STAT_STRESS,"Estres","Stress"
JOURNAL_STAT_NERVES,"Nervios","Nerves"
JOURNAL_BADGE_VAGABONDS,"Vagabundos","Vagabonds"
JOURNAL_BADGE_WORKERS,"Trabajadores","Workers"
JOURNAL_BADGE_BOURGEOIS,"Burgueses","Bourgeois"
JOURNAL_BADGE_NOBLES,"Nobles","Nobles"
JOURNAL_INVENTORY_TITLE,"Inventario","Inventory"
JOURNAL_EQUIPMENT_TITLE,"Equipamiento","Equipment"
JOURNAL_SLOT_HEAD,"Cabeza","Head"
JOURNAL_SLOT_NECK_COLLAR,"Collar","Collar"
JOURNAL_SLOT_NECK_PERFUME,"Colonia","Perfume"
JOURNAL_SLOT_BODY,"Cuerpo","Body"
JOURNAL_SLOT_GLOVES,"Guantes","Gloves"
JOURNAL_SLOT_HAND_LEFT,"Mano Izq.","Left Hand"
JOURNAL_SLOT_HAND_RIGHT,"Mano Der.","Right Hand"
JOURNAL_SLOT_SHOES,"Zapatos","Shoes"
JOURNAL_MAP_TITLE,"Whitechapel","Whitechapel"
JOURNAL_OBJECTIVES_TITLE,"Objetivos","Objectives"
MENU_CONTINUE,"Continuar","Continue"
MENU_NEW_GAME,"Nueva Partida","New Game"
MENU_LOAD,"Cargar Partida","Load Game"
MENU_OPTIONS,"Opciones","Options"
MENU_QUIT,"Salir","Quit"
MENU_BACK,"Volver","Back"
MENU_LANGUAGE,"Idioma","Language"
MENU_SLOT_EMPTY,"Slot %d — Vacío","Slot %d — Empty"
MENU_SAVE_SLOT,"Slot %d — Día %d / %02d:%02dh — %.0f s.","Slot %d — Day %d / %02d:%02dh — %.0f s."
MENU_CURRENCY,"s.","s."
ITEM_USE,"Usar","Use"
ITEM_EQUIP,"Equipar","Equip"
ITEM_DROP,"Tirar","Drop"
ITEM_CANCEL,"Cancelar","Cancel"
ITEM_DROP_SOME,"Tirar varios","Drop several"
ITEM_DROP_QTY,"¿Cuántos?","How many?"
